Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Colin Poche,Rays,2,2,3.37,0,40,0,40,30,15,5,52,18,1.22,11.66,4.08,3.58,0.3,0.5,597.6,sa657989
Hector Neris,Phillies,2,2,3.61,0,40,0,40,32,16,5,51,15,1.18,11.49,3.28,3.59,0.4,0.3,571.5,11804
Stephen Strasburg,Nationals,6,5,3.67,29,0,0,1,1,0,0,1,0,1.2,9.7,2.57,3.59,0,0,59.3,10131
Reyes Moronta,Giants,2,2,3.44,0,50,0,50,39,19,5,61,25,1.29,10.93,4.56,3.6,0.4,0.4,592.1,14966
German Marquez,Rockies,6,5,3.87,32,0,0,1,1,0,0,1,0,1.24,9.84,2.7,3.61,0,0,83.1,15038
Rubby de la Rosa,Diamondbacks,0,0,3.77,0,1,0,1,1,0,0,1,0,1.25,9.7,2.95,3.62,0,0.1,999,3862
Jose Castillo,Padres,3,2,3.45,0,50,0,50,41,19,5,60,22,1.26,10.88,4,3.62,0.4,0.4,534.7,17169
Austin Adams,Nationals,1,1,3.49,0,20,0,20,16,8,2,25,11,1.32,11.43,4.78,3.63,0.1,0.2,999,13801
Mark Melancon,Giants,3,3,3.56,0,65,12,65,63,26,6,56,20,1.29,7.7,2.81,3.63,0.3,0.4,384,4264
Robbie Ray,Diamondbacks,6,5,3.68,31,0,0,1,1,0,0,1,0,1.27,11.34,4.04,3.64,0,0,129.4,11486
Brad Wieck,Padres,2,1,3.44,0,30,0,30,24,11,3,36,14,1.27,10.85,4.13,3.64,0.3,0.3,999,16390
Ryan Madson,,3,2,3.71,0,50,0,50,46,21,6,51,15,1.23,9.12,2.78,3.65,0.4,0.4,999,1852
Dillon Maples,Cubs,1,0,3.34,0,10,0,10,7,4,1,13,7,1.43,11.98,6.13,3.65,0.1,0.1,999,14672
Jameson Taillon,Pirates,6,5,3.91,32,0,0,1,1,0,0,1,0,1.26,8.47,2.41,3.65,0,0,57.4,11674
Trey Wingenter,Padres,3,2,3.56,0,50,2,50,41,20,5,60,25,1.32,10.83,4.5,3.66,0.3,0.3,999,17793
Drew Steckenrider,Marlins,3,3,3.57,0,65,25,65,55,26,7,74,27,1.26,10.22,3.77,3.66,0.4,0.4,248,18806
Jaime Schultz,Dodgers,1,0,3.47,0,10,0,10,8,4,1,12,5,1.26,10.98,4.19,3.66,0.1,0.1,999,15066
Taylor Rogers,Twins,3,3,3.63,0,60,2,60,55,24,7,63,20,1.25,9.46,3.07,3.67,0.6,0.7,491.2,13449
Raisel Iglesias,Reds,3,3,3.69,0,65,33,65,57,27,8,74,23,1.23,10.31,3.21,3.67,0.6,0.5,107.3,17130
Yu Darvish,Cubs,5,4,3.78,24,0,0,1,1,0,0,1,0,1.21,10.13,3.05,3.68,0,0,147.1,13074
Shohei Ohtani,Angels,0,0,3.61,0,0,0,1,1,0,0,1,0,1.21,10.86,3.55,3.68,0,0,180.3,19755
Shohei Ohtani,Angels,0,0,3.61,0,0,0,1,1,0,0,1,0,1.21,10.86,3.55,3.68,0,0,180.3,19755
Lou Trivino,Athletics,4,3,3.62,0,70,2,70,61,28,7,75,29,1.29,9.62,3.74,3.68,0.5,0.5,544.4,15043
Juan Nicasio,Phillies,2,2,3.71,0,40,0,40,36,16,5,45,13,1.21,10.14,2.82,3.69,0.3,0.2,999,7731
Darren O'Day,Braves,3,2,3.68,0,55,4,55,48,23,6,61,20,1.23,10.04,3.25,3.7,0.5,0.5,600.2,3321
Jesse Biddle,Braves,2,2,3.54,0,40,0,40,35,16,4,43,17,1.32,9.66,3.93,3.71,0.2,0.4,999,11437
Max Fried,Braves,2,2,3.5,3,18,0,33,29,13,3,36,15,1.35,9.76,4.23,3.71,0.3,0.5,554.6,13743
Mike Zagurski,Cubs,0,0,3.58,0,1,0,1,1,0,0,1,0,1.26,10.53,3.75,3.71,0,0.1,999,9683
Carson Smith,Red Sox,1,0,3.73,0,10,0,10,9,4,1,10,4,1.33,8.85,3.6,3.72,0.1,0.1,999,13172
Bobby Wahl,Brewers,1,1,3.65,0,20,0,20,16,8,2,25,10,1.29,11.34,4.36,3.72,0.2,0.1,999,14832
Jack Flaherty,Cardinals,6,5,3.68,29,0,0,1,1,0,0,1,0,1.23,9.94,3.27,3.73,0,0,62.4,17479
Jace Fry,White Sox,3,2,3.56,0,50,0,50,43,20,5,58,23,1.31,10.45,4.1,3.73,0.4,0.4,557.4,16159
Tony Barnette,Cubs,2,2,3.72,0,40,0,40,37,17,4,40,13,1.26,9.03,3.02,3.73,0.2,0.2,999,3555
Brad Peacock,Astros,5,4,3.78,5,55,0,77,67,32,10,89,27,1.22,10.37,3.2,3.73,0.8,0.7,334.2,5401
Francisco Liriano,Pirates,2,2,3.75,0,35,0,35,33,15,3,36,14,1.34,9.37,3.71,3.73,0.2,0.2,999,3201
JT Chargois,Dodgers,2,1,3.59,0,30,0,30,27,12,3,31,12,1.3,9.33,3.72,3.73,0.1,0.2,999,13767
Caleb Ferguson,Dodgers,3,3,3.51,3,43,0,58,50,23,7,63,21,1.23,9.71,3.33,3.74,0.4,0.5,583.9,19349
Mike Kickham,Marlins,0,0,3.63,0,1,0,1,1,0,0,1,0,1.26,7.52,2.36,3.74,0,0.1,999,11618
Hyun-Jin Ryu,Dodgers,4,4,3.66,23,0,0,1,1,0,0,1,0,1.2,8.62,2.38,3.74,0,0,184.1,14444
Richard Rodriguez,Pirates,3,3,3.79,0,60,2,60,53,25,8,67,21,1.23,9.99,3.09,3.74,0.3,0.3,592.7,13549
Deolis Guerra,Padres,0,0,3.7,0,1,0,1,1,0,0,1,0,1.24,9.2,2.99,3.74,0,0.1,999,8410
C.C. Lee,,0,0,3.71,0,1,0,1,1,0,0,1,0,1.28,10.24,3.74,3.74,0,0.1,999,5177
Alex Claudio,Brewers,2,2,3.66,0,45,0,45,48,18,4,33,13,1.34,6.55,2.52,3.74,0.3,0.3,999,12890
Zack Greinke,Diamondbacks,6,5,3.85,32,0,0,1,1,0,0,1,0,1.22,8.43,2.19,3.74,0,0,66.2,1943
Sam Dyson,Giants,3,3,3.68,0,60,0,60,59,25,5,49,22,1.36,7.39,3.35,3.75,0.2,0.3,597.8,11710
Rich Hill,Dodgers,5,5,3.63,28,0,0,1,1,0,0,1,0,1.18,9.84,2.86,3.75,0,0,167.9,4806
Cole Sulser,Rays,1,1,3.66,0,20,0,20,17,8,2,23,8,1.25,10.2,3.6,3.75,0.1,0.1,999,sa738350
Joakim Soria,Athletics,3,3,3.69,0,65,10,65,59,27,7,66,23,1.25,9.11,3.13,3.76,0.6,0.5,532.2,6941
Pedro Strop,Cubs,3,3,3.68,0,65,2,65,58,27,7,68,26,1.3,9.45,3.64,3.76,0.4,0.4,210.1,4070
Bryse Wilson,Braves,1,1,3.74,2,17,0,24,22,10,3,25,9,1.27,9.12,3.2,3.76,0.2,0.2,600.1,19990
Trevor Gott,Giants,1,1,3.62,0,25,0,25,23,10,2,24,10,1.33,8.57,3.7,3.77,0.1,0.1,999,15046
Scott Copeland,Nationals,0,0,3.72,0,1,0,1,1,0,0,1,0,1.35,7.52,3.08,3.77,0,0.1,999,10706
Stephen Villines,Mets,0,0,3.69,0,1,0,1,1,0,0,1,0,1.26,9.64,3.36,3.77,0,0.1,999,sa874197
Shane Bieber,Indians,5,4,3.85,24,0,0,1,1,0,0,1,0,1.19,8.06,1.81,3.77,0,0,153.2,19427
Luke Gregerson,Cardinals,3,2,3.8,0,50,0,50,48,21,5,45,17,1.31,8.16,3.05,3.78,0.2,0.2,999,4090
Scott Oberg,Rockies,3,3,3.95,0,60,0,60,59,26,6,58,22,1.34,8.76,3.25,3.79,0.5,0.6,591.8,13911
Dallas Keuchel,,6,5,3.72,32,0,0,1,1,0,0,1,0,1.32,7.04,2.67,3.8,0,0,184.6,9434
Chris Devenski,Astros,3,2,3.85,0,50,0,50,44,21,7,55,16,1.21,9.88,2.86,3.8,0.3,0.3,580.2,12763
Robert Stock,Padres,2,2,3.71,0,45,0,45,41,19,4,46,19,1.33,9.19,3.79,3.8,0.2,0.2,999,6576
Jose Leclerc,Rangers,3,3,3.62,0,65,21,65,49,26,7,86,37,1.32,11.92,5.1,3.8,0.7,0.9,113,14524
James Hoyt,Indians,0,0,3.8,0,1,0,1,1,0,0,1,0,1.28,9.66,3.47,3.81,0,0.1,999,14605
Austin Pruitt,Rays,2,2,3.82,0,40,0,40,40,17,5,35,10,1.24,7.79,2.2,3.82,0.2,0.3,999,15290
Silvino Bracho,Diamondbacks,2,2,3.87,0,50,0,50,43,21,6,58,19,1.24,10.43,3.45,3.82,0.4,0.3,999,15051
Chaz Roe,Rays,3,2,3.73,0,50,0,50,45,21,5,51,19,1.28,9.24,3.43,3.82,0.3,0.3,572.7,9866
Jake Petricka,Brewers,1,0,3.82,0,10,0,10,10,4,1,9,4,1.35,8.02,3.21,3.82,0.1,0,999,10534
Xavier Cedeno,Cubs,1,0,3.66,0,10,0,10,9,4,1,10,4,1.34,8.64,3.64,3.82,0,0.1,999,36
Jake Diekman,Royals,3,3,3.63,0,55,9,55,47,22,5,60,26,1.33,9.82,4.26,3.82,0.3,0.6,999,5003
Zack Wheeler,Mets,6,5,3.86,29,0,0,1,1,0,0,1,0,1.26,9.05,2.98,3.83,0,0,86.4,10310
Tanner Scott,Orioles,2,2,3.57,0,45,0,45,36,18,5,57,26,1.4,11.32,5.3,3.83,0.3,0.4,599.2,17586
Jandel Gustave,Giants,0,0,3.67,0,1,0,1,1,0,0,1,0,1.33,9.28,4.07,3.83,0,0.1,999,14665
Ryan Helsley,Cardinals,1,0,3.74,0,10,0,10,9,4,1,11,4,1.28,9.59,3.62,3.84,0.1,0.1,999,sa874172
Alex Reyes,Cardinals,4,3,3.8,19,0,0,1,1,0,0,1,0,1.28,10.2,3.82,3.84,0,0,210.6,15015
Joey Lucchesi,Padres,6,5,3.76,29,0,0,1,1,0,0,1,0,1.27,9.12,3.06,3.84,0,0,210.3,19320
Reymin Guduan,Astros,1,1,3.67,0,25,0,25,22,10,3,28,13,1.37,10.24,4.59,3.84,0.2,0.2,999,13058
Nathan Eovaldi,Red Sox,5,5,3.9,28,0,0,1,1,0,0,1,0,1.24,7.97,2.3,3.84,0,0,166.4,9132
Wade Davis,Rockies,3,3,3.98,0,65,29,65,59,29,8,74,27,1.32,10.18,3.81,3.84,0.5,0.7,115.5,7441
Jonathan Loaisiga,Yankees,2,2,3.82,3,18,0,33,30,14,4,36,11,1.23,9.68,2.88,3.84,0.4,0.4,541,19753
Tommy Hunter,Phillies,3,3,3.86,0,55,2,55,53,24,7,53,16,1.26,8.59,2.68,3.86,0.3,0.2,999,1157
John Brebbia,Cardinals,3,2,3.84,0,50,0,50,44,21,7,54,16,1.2,9.77,2.93,3.86,0.3,0.2,600,12777
Hunter Wood,Rays,1,1,3.72,0,20,0,20,17,8,3,22,8,1.24,9.73,3.4,3.86,0.1,0.1,999,15091
Nik Turley,Pirates,0,0,3.81,0,1,0,1,1,0,0,1,0,1.31,9.77,3.75,3.86,0,0.1,999,5530
Sonny Gray,Reds,5,5,3.89,28,0,0,1,1,0,0,1,0,1.33,8.7,3.32,3.86,0,0,273.9,12768
Grant Dayton,Braves,1,1,3.79,0,15,0,15,13,6,2,17,6,1.25,10.23,3.39,3.86,0.1,0.1,999,11203
Tony Cingrani,Dodgers,2,2,3.57,0,40,0,40,34,16,5,45,16,1.26,10.06,3.64,3.87,0.1,0.3,999,12555
Nate Jones,White Sox,3,3,3.79,0,60,28,60,52,25,8,67,23,1.26,10.06,3.5,3.87,0.5,0.5,532.8,4696
Dan Otero,Indians,3,2,3.83,0,50,0,50,54,21,5,36,12,1.3,6.46,2.07,3.87,0.3,0.5,999,7385
Cory Burns,Mets,0,0,3.78,0,1,0,1,1,0,0,1,0,1.35,9.25,3.97,3.87,0,0.1,999,6620
Anthony Banda,Rays,0,0,3.7,0,1,0,1,1,0,0,1,0,1.27,9.6,3.52,3.87,0,0.1,999,14706
Jimmie Sherfy,Diamondbacks,2,2,3.89,0,45,0,45,39,19,5,51,20,1.3,10.28,3.93,3.87,0.3,0.2,601,15118
Junior Guerra,Brewers,3,2,3.89,0,50,0,50,46,22,7,54,17,1.26,9.64,3.13,3.88,0.3,0.3,598.5,5702
Sergio Romo,Marlins,3,3,3.86,0,65,11,65,59,28,8,66,21,1.24,9.13,2.95,3.88,0.3,0.1,459.4,9817
Adam Ottavino,Yankees,3,3,3.85,0,65,4,65,53,28,8,81,31,1.29,11.26,4.28,3.88,0.5,0.5,345.9,1247
Sam Freeman,Braves,2,1,3.7,0,30,0,30,27,12,3,32,15,1.4,9.65,4.64,3.89,0.1,0.2,999,6832
Dan Winkler,Braves,2,2,3.93,0,40,0,40,37,17,5,42,15,1.29,9.46,3.34,3.89,0.1,0.2,600.5,12237
Jordan Hicks,Cardinals,3,3,3.72,0,60,15,60,54,25,5,62,31,1.41,9.3,4.64,3.89,0.2,0.3,201.3,19618
Dylan Floro,Dodgers,3,2,3.76,0,50,0,50,50,21,5,41,16,1.31,7.38,2.83,3.89,0.2,0.1,999,13394
Michael Feliz,Pirates,2,2,3.97,0,40,0,40,36,18,5,44,16,1.32,9.8,3.68,3.89,0.2,0.1,999,11903
Alex Colome,White Sox,3,3,3.82,0,60,2,60,56,25,7,61,21,1.28,9.12,3.15,3.89,0.4,0.3,215,6661
Matt Bowman,Reds,1,1,3.85,0,20,0,20,19,9,2,19,8,1.34,8.73,3.48,3.89,0.1,0.1,999,13528
Yoan Lopez,Diamondbacks,2,2,3.9,0,35,0,35,30,15,4,40,16,1.31,10.26,4.05,3.89,0.2,0.2,600.6,17181
Carl Edwards Jr.,Cubs,3,3,3.82,0,60,2,60,48,25,7,74,33,1.35,11.06,4.88,3.9,0.3,0.3,538.5,13607
Anthony Bass,Reds,0,0,3.91,0,1,0,1,1,0,0,1,0,1.28,8.86,3,3.9,0,0.1,999,7982
Arodys Vizcaino,Braves,3,3,3.91,0,65,27,65,58,28,8,72,27,1.3,9.91,3.71,3.9,0.3,0.4,182.4,5498
Joe Musgrove,Pirates,5,5,4.04,28,0,0,1,1,0,0,1,0,1.27,7.82,2.23,3.9,0,0,220.4,12970
Ty Buttrey,Angels,3,3,3.67,0,60,2,60,51,24,7,63,26,1.3,9.52,3.93,3.91,0.4,0.4,465.2,14719
Kenta Maeda,Dodgers,4,4,3.87,23,0,0,1,1,0,0,1,0,1.21,9.46,2.7,3.91,0,0,215.1,18498
Zach Duke,Reds,2,2,3.72,0,40,0,40,38,17,4,39,17,1.37,8.69,3.87,3.91,0.2,0.3,999,3840
Wilmer Font,Rays,3,3,3.86,3,43,0,58,51,25,8,62,19,1.21,9.66,2.92,3.91,0.5,0.5,999,5257
Oliver Drake,Rays,0,0,3.78,0,1,0,1,1,0,0,1,0,1.31,8.95,3.55,3.91,0,0.1,999,8823
Derek Law,Giants,0,0,3.82,0,1,0,1,1,0,0,1,0,1.31,8.32,3.32,3.91,0,0.1,999,13133
Luis Garcia,Angels,2,2,3.72,0,40,0,40,37,17,4,38,16,1.32,8.55,3.59,3.92,0.3,0.3,999,6984
Bud Norris,,3,3,3.9,0,60,0,60,55,26,7,63,23,1.3,9.52,3.45,3.92,0.3,0.3,540.5,9492
Jon Gray,Rockies,5,4,4.19,26,0,0,1,1,0,0,1,0,1.31,8.98,2.85,3.92,0,0,210.3,14916
Nick Burdi,Pirates,1,1,3.98,0,25,0,25,23,11,3,26,11,1.36,9.38,3.91,3.92,0.1,0,999,16074
Clay Holmes,Pirates,2,2,3.95,3,23,0,38,37,17,3,36,19,1.46,8.54,4.42,3.92,0.3,0.3,999,13649
Angel Sanchez,,0,0,3.94,0,1,0,1,1,0,0,1,0,1.3,9.03,3.23,3.93,0,0.1,999,11776
Andrew Vasquez,Twins,1,1,3.73,0,20,0,20,18,8,2,21,9,1.35,9.37,4.02,3.93,0.1,0.2,999,19482
Miles Mikolas,Cardinals,6,5,4.04,32,0,0,1,1,0,0,1,0,1.24,7.27,1.72,3.93,0,0,98.3,9803
Matt Carasiti,Cubs,0,0,3.87,0,1,0,1,1,0,0,1,0,1.33,9.7,3.96,3.93,0,0.1,999,13276
Joshua James,Astros,4,4,3.93,23,0,0,1,1,0,0,1,0,1.3,10.29,3.87,3.93,0,0,185.3,16794
Carlos Martinez,Cardinals,9,7,3.93,19,44,0,139,133,61,15,132,53,1.34,8.53,3.46,3.93,1.7,1.4,144.9,11682
Jose Alvarez,Phillies,2,2,3.81,0,40,0,40,37,17,5,40,14,1.29,9.02,3.25,3.94,0.2,0.2,999,5358
Brad Brach,Cubs,2,2,3.89,0,45,0,45,41,19,5,45,19,1.33,9.06,3.71,3.94,0.2,0.2,570.3,6627
Julio Urias,Dodgers,3,2,3.7,15,0,0,1,1,0,0,1,0,1.3,9.28,3.72,3.94,0,0,298.8,14765
Tyler Glasnow,Rays,5,4,3.93,24,0,0,1,1,0,0,1,1,1.34,10.52,4.53,3.94,0,0,157.3,14374
Cole Hamels,Cubs,6,5,3.97,29,0,0,1,1,0,0,1,0,1.29,8.94,3.15,3.94,0,0,153.9,4972
Cionel Perez,Astros,3,2,3.81,0,50,0,50,45,21,6,54,21,1.32,9.63,3.78,3.94,0.3,0.3,999,19614
Boone Logan,,0,0,3.78,0,1,0,1,1,0,0,1,0,1.34,10.3,4.31,3.94,0,0.1,999,5525
Yaisel Sierra,Dodgers,0,0,3.76,0,1,0,1,1,0,0,1,0,1.33,8.59,3.6,3.95,0,0.1,999,sa909930
Matt Grace,Nationals,3,2,3.88,0,50,0,50,51,22,5,41,17,1.36,7.4,3.03,3.95,0.2,0.2,999,11449
Tayron Guerrero,Marlins,3,3,3.83,0,60,0,60,52,26,6,66,30,1.37,9.87,4.52,3.95,0.1,0.1,596.1,11691
